AWB,ConsigneeCompany,ConsigneeAddr1,ConsigneePostal,KiloWgt,SelectCd,PieceQty,CommitDate,DestLocCd,CourierRoute
4.68E+11,SIMPRO ENGINEERING SDN BHD,"NO 24 1, PLAZA PUCHONG",58200,8.3,"DT,C1",1,19/9/2017,KUL,823
1.20E+11,,12 JALAN 16/14,46350,238.6,"DIA,C1",5,19/9/2017,KUL,833
7.76E+11,B M CONSULTANCY SERVICES SDN BHD,"LEVEL 21, THE GARDENS SOUTH TOWER",59200,0.1,DR,1,19/9/2012,KUL,853
4.55E+11,WONG PARTNERS,"LEVEL 21, SUITE 21.01",59200,11,DR,1,19/9/2012,KUL,853
7.76E+11,BIOCON SDN BHD,"NO.1, JALAN BIOTEKNOLOGI 1,",79200,0.5,"PW,DT",1,19/9/2013,JHB,
7.76E+11,KAIZAN AERO MANUFACTURING SDN BHD,NO. 19 JALAN TPP 6/4TAMAN PERINDUST,47100,4.3,"C1,DT",1,19/9/2017,XKL,823
1.13E+11,TAKNET SYSTEMS SDN BHD,"C-02-10, PAVILION, JLN PUTERI 7/13,",47100,2.1,"DT,C1",1,19/9/2017,XKL,823
1.14E+11,LOT 5 JALAN SUNGAI KAYU ARA 32/37,TAMAN BERJAYA SEKSYEN 32 SHAH ALAM,40460,22,DR,1,19/9/2012,XKL,929928
7.76E+11,ALLIANCE BANK MALAYSIA BERHAD,NO. 3 JALAN SS15/2A,47500,0.2,DR,1,19/9/2012,XKL,930932
7.90E+11,CURVATURE (MALAYSIA) SDN BHD,2-46 BLOCK A LOBBY C,47301,7.7,"C1,PL",1,19/9/2017,XKL,823
7.90E+11,GES MANUFACTURING SERVICES M SDN BH,PLO 34 FASA 2 KAWASAN,81400,1.8,"C1,DT",1,19/9/2018,JHB,
7.76E+11,FLEXMODUS SDN BHD,"NO 1, JALAN P219A",43500,0.1,"C1,DT",1,19/9/2017,RDN,
4.39E+11,CANTERAN APPAREL SDN BHD,28 JALAN BAKAU,86000,6.7,"PW,DT",1,19/9/2012,KUD,
1.16E+11,LEES FROZEN FOOD SDN BHD,"B 01-D-16-1 2, MENARA 2,",59200,0.5,DR,1,19/9/2013,KUL,851
7.90E+11,,"3, LORONG DAMAI 10",55000,0.5,"DIA,C1",1,19/9/2017,KUL,813
8.12E+11,SWISSMED SDN BHD,C-10-30 KOMPLEKS RIMBUN SCOTT,58100,87.1,"C1,DIA",11,19/9/2017,KUL,871
1.13E+11,RAHMAT LIM PARTNERS,STE 33 01 LEVEL 33 GARDENS N TOWER,59200,0.5,DR,1,19/9/2012,KUL,853
7.91E+11,,"LOT FA 06 , FORWARDER BUILDING",43900,10,BRK,1,19/9/2012,MKZ,
1.08E+11,GENTING MALAYSIA BERHAD,28 JALAN SULTAN ISMAIL,50250,33.5,"C1,PL",1,19/9/2017,KUL,823
4.68E+11,LUEN HENG F B SDN BHD (835510-K),"WISMA LHFB, LOT 45A 46A, JALAN",57100,0.2,DR,1,19/9/2013,KUL,810
7.76E+11,PANELTEK SDN BHD,"NO 57-B, JALAN USJ 21/11 UEP",47620,0.5,DR,1,19/9/2013,XKL,939934
4.39E+11,WEG SOUTH EAST ASIA SDN BHD,22 JALAN UTARID U5/26,40150,6.3,"C1,DT",1,19/9/2018,XKL,823
7.76E+11,SHAVES2U.COM,"LEVEL 18, AXIATA TOWER, NO 9,",50470,30,C1,1,19/9/2017,KUL,823
1.23E+11,ALL EIGHTS (M) SDN BHD,45 JALAN TS6/10A,47610,27.2,"PW,DT",1,19/9/2012,XKL,823
7.91E+11,,"LOT FA 06 , FORWARDER BUILDING",43900,3,DR,1,19/9/2012,MKZ,
4.66E+11,CONTINENTAL TIRE PJ MALAYSIA SDN B,"2, JALAN TANDANG 46050PETALING JAY",46050,60,DR,1,19/9/2017,KUL,823
7.76E+11,RHB BANK BERHAD,"NO. 16 AND 18, 1ST FL,, SEKSYEN 9",40100,0.4,DR,1,19/9/2012,XKL,911926
7.91E+11,,"LOT GF-01,GROUND FLOOR",64000,5,FCZ,1,19/9/2012,MKZ,
1.14E+11,"KOTA KEMUNING, SEKSYEN SECTION 31","10, JALAN ANGGERIK ARANDA, 31/41",40460,0,DR,1,19/9/2012,XKL,929928
7.90E+11,NO. 41B JALAN USJ 10/1A,SELANGOR DARUL EHSAN,47620,0.5,DR,1,19/9/2013,XKL,939934
8.14E+11,PARAGON HOLDINGS.,"A-09-3 VERTICAS RESIDENSI, N 10",50200,326.9,DR,22,19/9/2013,KUL,823
7.91E+11,,"LOT GF-01,GROUND FLOOR",64000,5,FCZ,1,19/9/2012,MKZ,
7.90E+11,,TAMAN PULAU,87000,9.8,C8,1,19/9/2017,LBU,
7.90E+11,PT REACH INTERNATIONAL (M) SDN BHD,PA-S-05(1) PEARL AVENUE JALAN PASI,43000,0.1,"PND,DR",1,19/9/2013,RDN,
4.76E+11,QNET LTD C/O QUEX COURIER SDN.BHD.,3RD FLOOR KOMPLEKS PENCHALA,46150,237,C8,30,19/9/2012,XKL,KULAAA
4.39E+11,ABBOTT MEDICAL (MALAYSIA) SDN BHD,"JALAN SS16/1, SS 16",47500,53.1,"C1,DT",5,19/9/2017,XKL,930932
7.90E+11,-NT(M)SDN BHD/ADD:NO 1-2 LOT NO 1,JIN RAYA BARAT 2/KS 1 PUSAT PERNIA,41100,0.5,BRK,1,19/9/2013,XKL,993916
7.90E+11,GLORIAMEMAR,"3-23A-5, ICON RESIDENCE, JALAN DUT",51200,523.4,"C1,PL",1,19/9/2013,KUL,880
7.76E+11,ANSELL N P SDN BHD,LOT 80 AIR KEROH INDUSTRIAL ESTATE,75450,0.5,DR,1,19/9/2013,MKZ,
8.13E+11,PETRONAS TRADE FINANCE,"LEVEL 57, TOWER 1 - PETRONAS",50088,299.8,DR,15,19/9/2013,KUL,823
4.63E+11,SUNPOWER MALAYSIA MANUFACTURING SDN BHD,MELAKA WORLD SOLAR VALLEY,78000,1.4,"C1,DT",1,19/9/2017,MKZ,
4.76E+11,TACH CAPITAL SDN.BHD.SAND,BOX 2 BLOCK 3710 PERSIARAN,63000,0.2,"PND,DR",1,19/9/2013,XKL,969938
1.22E+11,MALAYSIAN MOSAICS SDN BHD,4TH MILE JALAN BATU PAHAT KLUANG,86000,10.3,"DR,PND",1,19/9/2017,KUD,
1.22E+11,,P-01-12 LAMAN PERKASA JALAN FOREST,88050,5.7,"PND,DR",1,19/9/2017,JHB,
4.76E+11,ATA INDUSTRIAL (M) SDN BHD,"NO.9,JALAN RIANG 24,TAMAN GEMBIRA,",81200,2.6,"C1,DT",1,19/9/2013,JHB,
7.76E+11,ARMADA EMERALD SDN BHD,"UNIT NO. 16-3A, PLAZA AZALEA",40000,22,"DR,PND",1,19/9/2013,XKL,911926
7.90E+11,SAZEEB AHMED,ENDAH REGAL BLOCK B-5-5 TAMAN SRI,57000,246.3,"DR,PND",5,19/9/2013,KUL,833
7.90E+11,KUANG SECOND HAND SHOPPE,LOT NO 257 TEPI KAMPUNG CEMPEDAK,48050,0.3,"PND,DR",1,19/9/2017,XKL,
4.75E+11,TNT EXPRESS WORLDWIDE (M) SDN BHD,"LOT 5834, JALAN LENGKUK EMAS",71800,0.1,"C1,DT",1,19/9/2013,RDN,
4.75E+11,FEDERAL EXPRESS SERVICES (M) S/B,17 JALAN TSB 8,47000,50.9,"DIA,C1",1,19/9/2013,XKL,823
1.21E+11,FREESCALE SEMICONDUCTOR M S/B,NO 2 JLN SS 8/2,47300,63.3,C8,3,19/9/2012,XKL,MKZAC8
7.76E+11,MAGNETONE IMAGING (M) SDN BHD(6348,"UNIT G-8, KLH BUSINESS PARK, MENAR",47100,4,"PND,DR",1,19/9/2013,XKL,823
7.76E+11,FINN CHEMICALS SDN BHD,"7B, PERSIARAN JUBLI PERAK SEKSYEN",40300,8,"PND,DR",1,19/9/2017,XKL,925926
4.83E+11,MR T. ANANDA KRISHNAN,USAHA TEGAS SDN BHD,50088,12,"PND,DR",1,19/9/2012,KUL,823
4.83E+11,SUITE 50-6-3 LEVEL 6,"WISMA UOA DAMANSARA,",50490,222.6,"DR,PND",20,19/9/2013,KUL,823
7.76E+11,GPI ENGINEERING & CONSTRUCTION SUPPLY,F.A.O. CAIN WONG,6000,1.1,"C1,DT",1,19/9/2017,SZB,
4.81E+11,VISHAY SEMICONDUCTOR (M) SDN BHD,NO 1710 1 KAWASAN PERINDUSTRIAN,75250,27.3,"C1,DT",2,19/9/2012,MKZ,
8.10E+11,TOURISM MALAYSIA,ARAS 8 NO 2 TOWER 1,62200,2,DR,1,19/9/2013,XKL,969938
4.39E+11,TWENTY LOGISTICS TRADING,LOTGF-01GROUND FLOOROFFBUILDINGKLA,64000,5.5,FCZ,1,19/9/2012,MKZ,
7.76E+11,Q MAN TRADING SDN. BHD.,"57, JALAN BAKTI 54, TAMAN MUTIARA",81300,1,"DR,PND",1,19/9/2013,JHB,
8.12E+11,NIL,1D JALAN CHERAS PERMAI 3 TAMAN,43200,36.1,DR,3,19/9/2013,KUL,880
7.76E+11,A N MARKETING,MAS CARGO AGENTS COMPLEX,64000,28.5,FCZ,3,19/9/2017,MKZ,
7.76E+11,A N MARKETING,MAS CARGO AGENTS COMPLEX,64000,44.3,FCZ,10,19/9/2017,KUL,833
4.83E+11,MS SIEW LAN SEOW,"33, JALAN PUTERI 10/9",47100,53.5,"DR,PND",10,19/9/2013,XKL,823
4.83E+11,25 JALAN TASIK DAMAI 6,"2 JALAN CEMPAKA SD12/4A,",52200,1.1,"DR,PND",1,19/9/2013,KUL,
4.83E+11,HRH SULTAN IDRIS SHAH,WISMA CONCORD 5TH FLOOR,50250,33,"DR,PND",1,19/9/2013,KUL,823
4.83E+11,MS THERESA MANORANJITHAM RAJAHSER,113 JALAN DESA MAKMUR,58100,1.1,"DR,PND",1,19/9/2013,KUL,823
4.83E+11,MR BRANDON CHONG MENG TAN,60 JALAN ELITIS DAHINA,47000,1.1,"DR,PND",1,19/9/2013,XKL,KULAAA
4.83E+11,"AP 4-6-2 20TREES,",JALAN 203C TAMAN,53100,22,"DR,PND",1,19/9/2013,KUL,839
4.83E+11,MR RAFIEE BIN ABDUL GHANI,32 LORONG MAHKOTA IMPIAN 2/20,42300,1.1,"DR,PND",1,19/9/2017,SZB,
4.83E+11,MR JOSHUA YI-SHAUN TAN,29 JALAN UTARA,46200,1.1,"DR,PND",1,19/9/2013,KUL,833
7.76E+11,EXPEDITORS (M) SDN BHD,"LEVEL 11, TOWER 2, WISMA AMFIRST,",47301,74.2,DR,1,19/9/2012,XKL,823
7.76E+11,TEKNION FURNITURE SYSTEMS (M)SDNBH,"LOT 761, JALAN HAJI SIRAT",42100,14.8,C1,3,19/9/2013,XKL,KAPAR+
8.13E+11,ZOOM NINE G SDN BHD,"LOT C22, MASKARGO FRT FOR WARDERS,",64000,0.8,"PND,DR",1,19/9/2012,MKZ,
6.77E+11,STERNMAID ASIA PACIFIC SDN BHD,"NO. 14, JALAN TEKNOLOGI PERINTIS",79200,5.3,"C1,DIA",2,19/9/2017,JHB,
8.10E+11,WATSONS PERSONALCARE STORES SB,"20.03-20.06, 19/F CENTRAL PLZ",50250,155,"DR,PND",1,19/9/2011,KUL,
8.14E+11,LANTAS RESORUCES SDN BHD,LR AGRICARE TRADING SERVICES NO4,43000,15.5,"DR,PND",2,19/9/2012,RDN,
7.76E+11,IKANO JOHOR JAYA SDN BHD,"NO. 33A, JALAN HARMONIUM,",81100,6,"DIA,C1",1,19/9/2017,JHB,
1.21E+11,TSUJIMOTO (M) CORPORATION SDN BHD,"NO.14, JALAN SRI PLENTONG 10",81750,0.5,"C1,DT",1,19/9/2013,JHB,
7.90E+11,IPSB TECHNOLOGY,N-5-1(A) GARDEN OFFICE,47810,2.5,"C1,DT",1,19/9/2013,XKL,977982
7.76E+11,THOR SPECIALTIES SDN BHD,14 JALAN BURSA 23/4,40300,6,"DT,C1",1,19/9/2013,XKL,925926
7.76E+11,EEMED INTERNATIONAL SDN BHD,"NO.15-1, JALAN ALAM SUTERA 10",57000,67.3,"C1,DT",1,19/9/2017,KUL,823
1.07E+11,CLARIANT SPECIALTY CHEMICAL SDN BH,NO 79 80 HICOM SECTOR B,40000,1.5,"DR,PND",1,19/9/2013,XKL,927928
7.76E+11,NONEX,"NO 1, JALAN JATI 11, A2-01-04 NUSA",81300,3,"DIA,C1",1,19/9/2017,JHB,
8.13E+11,CHAN KAH KIM,B 16-01 PV 10 PLATINUM LAKE CONDO,53300,77.4,DR,1,19/9/2020,KUL,823
4.73E+11,GE ENGINE SERVICES MALAYSIA SDN BHD,MAS ENGINEERING OPERATIONS,47200,34,"C1,DT",1,19/9/2013,XKL,KULBK+
8.11E+11,,109 JALAN ORKIDS 5 TAMAN ORKIDS,43207,2,DR,1,19/9/2013,XKL,KULAAA
7.90E+11,NICHICON (MALAYSIA) SDN BHD,NO. 4 JALAN P/10,43650,7,"C1,DT",1,19/9/2017,RDN,
7.76E+11,,38 JALAN SERENE KIARA 6,50480,12.7,"PL,C1",10,19/9/2017,KUL,880
8.12E+11,"SEC GEN, ISLAMIC FIN SER BOARD","LEVEL 5, SASANA KIYANG BANK, NEGAR",50480,0.5,DR,1,19/9/2013,KUL,880
7.76E+11,MEDICAL CLAIM CENTRE,3B-15-3A BLOCK 3B,50470,11,DR,1,19/9/2012,KUL,823
7.90E+11,INOVATIF MEDIA ASIA,SDN BHD,47301,2.9,DR,1,19/9/2017,XKL,971972
7.90E+11,,NO.14A JALAN HUJAN RAHMAT 3,58200,0,DR,1,19/9/2013,KUL,871
4.52E+11,KANEKA (MALAYSIA) SDN BHD,JALAN GEBENG 2/3 LOT 123-124,26080,0.2,DR,1,19/9/2017,KUA,
7.76E+11,,139 JALAN TUN TAN CHENG LOCK,75200,0.2,"PL,C1",1,19/9/2013,MKZ,
7.76E+11,BRONSON & JACOBS (MALAYSIA) SDN BHD,(LOT 2). NO.47 JALAN UTAS 15/7,40200,46,"C1,DIA",2,19/9/2017,XKL,911926
4.58E+11,C/O K-LINE LOGISTICS (M) SDN BHD,"LOT C24, MASKARGO FREIGHT",64000,54.9,FCZ,8,19/9/2013,MKZ,
7.76E+11,JENNY GAN CHAI LIAN,"543, JALAN SRI PULAI 35",70400,1,DR,1,19/9/2017,RDN,
4.83E+11,KOBOLD INSTRUMENTS SDN BHD,"N. 58, JLN. PUTERI 5/5",47100,22,"DIA,C1",1,19/9/2017,XKL,823
7.90E+11,,C/O HSAP SDN BHD,88000,8.1,C8,2,19/9/2017,JHB,
6.52E+11,BAT ASPAC SERVICE CENTRE SDN BHD,REG PRODUCT CENTRE WISMS GUOC,50490,3.6,"PND,DR",1,19/9/2017,KUL,823
7.76E+11,,"M1-2-17, BLOCK SERI MERPATI 1,",55100,11,"DR,PND",1,19/9/2017,KUL,880
7.76E+11,,104 PINGGIR ZAABA,60000,0.5,"DR,PND",1,19/9/2018,XKL,979974
7.76E+11,,"1, JALAN NYAMAN",58200,0.5,"DR,PND",1,19/9/2017,KUL,833
7.76E+11,,"PERSIARAN SINGGAHSANA,BUKIT JELUTO",40150,0.5,"DR,PND",1,19/9/2017,XKL,823
7.76E+11,,"973, JALAN S2 F22",70300,0.5,"DR,PND",1,19/9/2017,RDN,
7.76E+11,,"LOT 558, JALAN 7,",68000,221.9,"DR,PND",10,19/9/2017,KUL,880
7.76E+11,,"LOT 2932A-7,",47000,0.5,"DR,PND",1,19/9/2017,XKL,985982
7.76E+11,,"LG-22,BLOK EMPIRE GALERI,EMPIRE DA",47301,0.5,"DR,PND",1,19/9/2017,XKL,979976
8.14E+11,AIRBUS HELICOPTERS MALAYSIA,MALAYSIA INTL AEROSPACE CENTRE,47200,184.3,"C1,DT",5,19/9/2012,XKL,823
1.10E+11,PPG COATINGS CO.(MALAYSIA) SDN BHD,"NO. 3, JALAN 205,SEKSYEN 51",46050,1.8,"C1,DT",1,19/9/2013,KUL,823
7.90E+11,ACEZ WONG,51 JALAN USJ 2/4M,47600,18.4,"PL,C1",1,19/9/2013,XKL,823
7.76E+11,INTERSCIENCE SDN BHD,2 JALAN SG KAYU ARA 32/38,40460,10.8,"C1,DT",2,19/9/2017,XKL,929928
7.90E+11,RAVEN EDUCATION SERVICES,"LOT 6623, GROUND FLOOR, JALAN",93450,4,"DR,PND",1,19/9/2017,KCH,
8.14E+11,WISMA LEBAR DAUN,NO. 2 JALAN TENGKU AMPUAN,40000,5,"DR,PND",1,19/9/2012,XKL,911926
8.10E+11,NANO MECHATRONICS SDN BHD,NO 14 LORONG HAJI ABDUL MANAN 1,41050,1.6,"DIA,C1",1,19/9/2013,XKL,KAPAR+
1.21E+11,CRESCENTECH MANUFACTURE SDN BHD,65 JALAN CEMERLANG,81800,0.4,"C1,DT",1,19/9/2013,JHB,
1.09E+11,"HUSSEIN BIN SYED MUSTAFA, SYED",NO 2 JALAN PJU7 9,47800,1.3,"C1,DIA",1,19/9/2013,XKL,979976
7.90E+11,GE ENGINE SERVICES MALAYSIA SDN BHD,MAS COMPLEX A-A1802 SULTAN ABDUL-,47200,6.8,"C1,DT",1,19/9/2013,XKL,KULBK+
1.07E+11,PNSB WATER SDN. BHD.,WATER QUALITY LABORATORY SERVICE,45600,0.3,"DR,PND",1,19/9/2018,SZB,
1.07E+11,TEAM MEDICAL SCIENTIFIC SDN BHD,NO. 41 JALAN ANGGERIK VANILLA T 3,40460,0.3,"DR,PND",1,19/9/2017,XKL,925928
1.21E+11,FLEXTRONICS SHAH ALAM SDN BHD,"PLOT D26, JLN DPB/4,KAW ZONE",88060,33,C8,5,19/9/2017,JHB,
7.90E+11,UNIQUE SYSTEMS AND AUTOMATION (M) SDN BHD,"61, JALAN S2 D36",70300,0.3,"C1,DIA",1,19/9/2017,RDN,
7.90E+11,CHIN HOO NG,100 JALAN ATHINAHAPAN 1,60000,3.4,"DIA,C1",1,19/9/2017,XKL,979974
8.12E+11,ARAB POTASH CO. PLC,UNIT1-17-3A MENARA BANGKOK BANKBE,50450,33,DR,20,19/9/2013,KUL,823
6.72E+11,NIK SAGHIR ISMAIL,"BLK 1, 15-B, 2ND FL. W.B. PARK",40675,44,DR,1,19/9/2013,XKL,911926
7.76E+11,SRIJANIS SDN. BHD. (446858-M),"LOT 10772, JALAN GEBENG 1/23",26080,0.4,"C1,DT",1,19/9/2017,KUA,
7.76E+11,LINTESS TECHNOLOGIES SDN BHD,"F-02-02 KETUMBAR HILL CD ,JALAN KET",56100,123.3,"C1,DT",16,19/9/2013,KUL,833
7.90E+11,GE ENGINE SERVICES MALAYSIA SDN BHD,MAS COMPLEX A-A1802 SULTAN ABDUL-,47200,1.4,"C1,DT",1,19/9/2013,XKL,KULBK+
7.90E+11,HAMILTON SUNDSTRAND CUSTOMER SUPPOR,"NO. 9, LENGKUK KELULI 2 ,BUKIT RAJA",41050,7,"C1,DT",1,19/9/2013,XKL,KULBK+
8.10E+11,AIROD SDN BHD,"JALAN TUDM, SUBAND AIRPORT",47200,4.9,"C1,DT",1,19/9/2013,XKL,823
7.76E+11,MALINDO AIRWAYS SDN.BHD K2 C/O,"MEZZANINE FLOOR CTB-B-05,",64000,47,FCZ,1,19/9/2013,MKZ,
7.90E+11,LIM SEI YIN,6 JALAN PJU 1A/23,47301,4.1,"DIA,PW",1,19/9/2017,XKL,955956
7.90E+11,MANG LIAN KHAI,C1-03-06 SUBANG PERDANA COURT 3,47610,8.9,"DR,PND",1,19/9/2017,XKL,823
1.05E+11,FARED ZAINAL,20 JALAN PULAU LUMUT U10/69B,40170,1,"C1,PL",1,19/9/2013,XKL,SZBAAA
7.76E+11,JEROME MARTINENT,"E-13A-20, BLOCK E, PLAZA MONT KIAR",50480,12,"DT,C1",9,19/9/2013,KUL,880
7.76E+11,HID GLOBAL SDN BHD,"NO 2, JALAN I-PARK 1/1",81000,25.5,"C1,DT",2,19/9/2017,JHB,
1.21E+11,FLEXTRONICS SHAH ALAM SDN BHD,"PLOT D26, JLN DPB/4,KAW ZONE",88060,2.1,C8,1,19/9/2017,JHB,
1.21E+11,FLEXTRONICS SHAH ALAM SDN BHD,"PLOT D26, JLN DPB/4,KAW ZONE",88060,1.3,C8,1,19/9/2017,JHB,
7.76E+11,SEARCH MUSIC SDN BHD,"NO G-9, 1-9 JALAN CENUK 2BANDAR PUC",47100,20.6,"C1,DIA",8,19/9/2012,XKL,KULAAA
1.14E+11,,"40, JALAN SETIAKASIH SATU,",50490,0.3,"C1,DIA",1,19/9/2017,KUL,823
1.12E+11,TELEMAJU SYSTEM SDN BHD,TELEMAJU SDN BHD,47100,333.2,"C1,DIA",5,19/9/2017,XKL,880
7.90E+11,,"5-42-2, SINARAN SATU,",40460,1.7,"C1,DIA",1,19/9/2013,XKL,925928
7.90E+11,ALZHMRE,A2-09-11 FLEXIS ONE SOUTH,43300,33,DR,1,19/9/2013,KUL,823
7.90E+11,,67 JALAN LINCAH TAMAN CONNAUGHT,56000,47.5,"C1,DIA",1,19/9/2013,KUL,833
7.76E+11,APICAL SCIENTIFIC SDN. BHD.,TAMANG SERDONG PERDANA SEKSYEN 2,43300,0.5,"C1,DT",1,19/9/2013,KUL,823
7.76E+11,INTAC RESOURCES SDN BHD MALAYSIA,"14-2 JALAN PEGAGA F U12/F,",40170,9.5,C1,1,19/9/2013,XKL,917912
7.76E+11,KAIZAN AERO MANUFACTURING SDN BHD,NO 19 JALAN TPP 6/4,47160,5,"C1,DT",1,19/9/2013,XKL,823
8.14E+11,IRIS CORPORATION ON BERHAD,PARK MALAYSIA BUKIT,57000,33,DR,1,19/9/2013,KUL,823
1.11E+11,ISOCHEM M SDN BHD,NO 6 JALAN ANGGERIK MOKARA 31/45,40460,2,"PND,DR",1,19/9/2013,XKL,929928
7.76E+11,MEGAPOWER MANUFACTURING (M) SDN BHD,", JALAN KPB 7,",43000,2,"C1,DIA",1,19/9/2017,RDN,
7.90E+11,CHLOE HOONG (BARROW ALUMINIUM SDN,"10, JALAN METRO PERDANA BARAT 11,",52100,1.1,"PL,C1",1,19/9/2013,KUL,840
7.90E+11,GE ENGINE SERVICES MALAYSIA SDN BHD,MAS COMPLEX A-A1802 SULTAN ABDUL-,47200,2.7,"C1,DT",1,19/9/2013,XKL,KULBK+
8.14E+11,HERWANDI CHARMADI,D-LG2-2 RIANA GREEN EAST 11,53300,333,"PND,DR",1,19/9/2017,KUL,
8.14E+11,KHAIRUL AZRIN BIN ABD KADIR,NO.16-18 LORONG 3 TAMAN CENDRAWASI,25000,0.6,"PND,DR",1,19/9/2017,KUA,
8.14E+11,HELMIE SYAMSUL BIN ZAINAL ABIDIN,NO.4 JALAN SEJABAK 13,81700,1,"PND,DR",1,19/9/2017,JHB,
7.76E+11,GE ENGINE SERVICES MALAYSIA SDN BHD,MAS ENGINEERING OPERATIONS,47200,33,"C1,DT",1,19/9/2017,KUL,XKLA
1.19E+11,ADVAL TECH (MALAYSIA) SDN BHD,NO. 9 JALAN TAMPOI 7/4,81200,,"C1,DT",1,19/9/2013,JHB,
7.90E+11,,"NO.114, LOT 2527",93200,0.5,"DT,C1",1,19/9/2017,KCH,
7.90E+11,GE ENGINE SERVICES MALAYSIA SDN BHD,MAS COMPLEX A-A1802 SULTAN ABDUL-,47200,1.4,"C1,DT",1,19/9/2013,XKL,KULBK+
7.90E+11,GE ENGINE SERVICES MALAYSIA SDN BHD,MAS COMPLEX A-A1802 SULTAN ABDUL-,47200,1.4,"C1,DT",1,19/9/2013,XKL,KULBK+
1.03E+11,INTERSCIENCE SDN BHD,"2, JALAN SUNGAI KAYU ARA 32/38",40460,0.9,"C1,DT",1,19/9/2013,XKL,929928
7.76E+11,FLEXTRONICS SHAH ALAM SDN BHD,"PLOT D26, JLN DPB/4,KAW ZONE",88060,10.4,C8,1,19/9/2018,JHB,
7.76E+11,BIGLIFE SDN.BHD,"LEVEL 4 WISMA TUNE,LORONG DUNGUN",50490,6.4,DR,1,19/9/2013,KUL,823
1.21E+11,FLEXTRONICS SHAH ALAM SDN BHD,"PLOT D26, JLN DPB/4,KAW ZONE",88060,2.2,C8,1,19/9/2017,JHB,
1.21E+11,FLEXTRONICS SHAH ALAM SDN BHD,"PLOT D26, JLN DPB/4,KAW ZONE",88060,1.6,C8,1,19/9/2017,JHB,
7.90E+11,,"BLOCK B-2,PUNCAK BAIDURI APARTMENT",43200,3.3,"PW,DIA",5,19/9/2013,KUL,880
7.76E+11,KAVI TRANSPORT SERVICES,"LOT F-31, CARGO COMPLEX",64000,0.9,FCZ,1,19/9/2013,MKZ,
7.90E+11,,234 JALAN 48A,56100,0.5,"C1,PL",1,19/9/2013,KUL,833
4.80E+11,TESSA THERAPEUTICS SDN BHD,"NO F-55-G, JALAN TEKNOLOGI 3/9",47810,333.2,"C1,DIA",20,19/9/2017,XKL,823
1.12E+11,MALAYSIA NEWSPRINT INDUSTRIES SDN,"LOT 3771, JALAN LENCONGAN, PAHANG",28400,0.7,DR,1,19/9/2017,KBR,
7.90E+11,,KING HENRY VIII COLLEDGE,63000,0.9,DR,1,19/9/2013,XKL,969938
1.21E+11,PORT KLANG,"LIU UNIT D1, JALAN FZ6 - P3",42920,63,"C1,PL",4,19/9/2017,XKL,997918
7.76E+11,AMR ZENWORKS SDN BHD,"G-02-07, JALAN PJU 1A/3M",47301,8.1,"PND,DR",1,19/9/2013,XKL,955956
8.80E+11,ATTN LYE WAY HOON,"29-2, JALAN RADIN ANUM DUA",57000,1,DR,1,19/9/2017,KUL,833+
7.76E+11,BOMBARDIER (MALAYSIA) SDN BHD C/O M,TTS OFF SATELLITE A WEST ARM,64000,3.6,"DIA,C1",1,19/9/2013,MKZ,
7.90E+11,,119 LINTANG PARK UTARA,93200,0.4,"PL,C1",1,19/9/2017,KCH,
4.55E+11,SAMSUNG,"LEBUH 2, NORTH KLANG STRAITS, AREA",62200,12.2,"DT,C1",1,19/9/2013,XKL,KAAPR+
7.90E+11,,BSP 21 JALAN SANJUNA PUTRA BANDAR,42610,0.5,DR,1,19/9/2013,XKL,999916
7.90E+11,CHAN SHALLYN,"B-19-01, SENI MONT KIARA, NO 2A CH",50480,0.7,"PL,C1",1,19/9/2013,KUL,880
7.90E+11,,COUP MARKETING ASIA PACIFIC SN BHD,59200,33,DR,1,19/9/2013,KUL,851
7.76E+11,KAVI TRANSPORT SERVICES,"LOT F-31, CARGO COMPLEX",64000,0.9,FCZ,1,19/9/2013,MKZ,
4.34E+11,,12 JALAN SS20/25,47400,1.3,"C1,DIA",1,19/9/2017,XKL,973972
4.79E+11,NITTO DENKO MATERIALS SDN BHD,BHD 2 PERSIARAN BUDIMAN,40300,11.6,"C1,DT",4,19/9/2013,XKL,925926
7.76E+11,PALL MALAYSIA SDN BHD,"LEVEL 29-01, PJX-HM SHAH TOWER",46200,40.2,DR,1,19/9/2013,KUL,823
7.90E+11,,"BLOCK A-3A-05 CONDO OPAL, JALAN PJ",47810,0.9,"C1,PL",1,19/9/2013,XKL,979976
7.90E+11,,"NO.3, JALAN 6/32A, OFF BATU 6 1/2,",52100,0.4,"PL,C1",1,19/9/2013,KUL,840
7.90E+11,BIANCA LIND INDOT,257 JALAN PERSIARAN TAMALAN,47000,0.4,"PL,C1",1,19/9/2013,XKL,KULAAA
7.90E+11,GRACE NIANNGAIHMOI,B-15-01 SUNWAY PALAZZIO,50480,66,"PL,C1",3,19/9/2013,KUL,880
4.67E+11,CITIGROUP,165 JALAN AMPANG,50450,12,"C1,DT",1,19/9/2013,KUL,823
8.13E+11,WEATHER FORD MALAYSIA,SDN BHD,,0.1,C8,1,19/9/2017,LBU,
5.50E+11,VEGASARI TEKNOLOGI SDN BHD,26B 2ND FLOOR JALAN SS 3/33 SELANG,47300,4.1,"DIA,C1",1,19/9/2013,XKL,823
7.76E+11,,"NO. 2, JALAN ANGGUN 1E",48000,60,DR,1,19/9/2013,XKL,823
